
id,problem,answer,truth,final
69,"在 $\triangle A B C$ 中， $\cos A=-\frac{1}{3}, a \sin C=4 \sqrt{2}$ ．
（1）求 $c$ ；
（2）再从条件（1）、条件（2）、条件（3）这三个条件中选择一个作为已知，使得 $\triangle A B C$ 存在，求 $B C$ 的高条件（1）：$a=6$ ；
条件（2）：$b \sin C=\frac{10 \sqrt{2}}{3}$ ；
条件（3）：$S_{\triangle A B C}=10 \sqrt{2}$ ．
注：如果选择的条件不符合要求，第（2）问得 0 分；如果选择多个符合要求的条件分别解答，按第一个解答得分．",ERROR,"(1)6 （2）1）由平方关系、正弦定理即可求解；
（2）若选（1），可得 $A, C$ 都是钝角，矛盾；若选（2），由正弦定理、平方关系求得， $\sin B, \cos B$ ，进一步由 $A D=c \sin B$ 求得高，并说明此时三角形 $A B C$ 存在即可；若选（3），首先根据三角形面积公式求得 $b$ ，再根据余弦定理可求得 $a$ ，由此可说明三角形 $A B C$ 存在，且可由等面积法求解 $A D$ ．",处理失败: The read operation timed out
70,"有一道选择题考查了一个知识点．甲、乙两校各随机抽取 100 人，甲校有 80 人答对，乙校有 75 人答对，用频率估计概率．
（1）从甲校随机抽取 1 人，求这个人做对该题目的概率；
（2）从甲、乙两校各随机抽取 1 人，设 $X$ 为做对的人数，求恰有 1 人做对的概率以及 $X$ 的数学期望；
（3）若甲校同学掌握这个知识点则有 $100 \%$ 的概率做对该题目，乙校同学掌握这个知识点则有 $85 \%$的概率做对该题目，未掌握该知识点的同学都是从四个选项里面随机选择一个，设甲校学生掌握该知识点的概率为 $p_{1}$ ，乙校学生掌握该知识点的概率为 $p_{2}$ ，试比较 $p_{1}$ 与 $p_{2}$ 的大小（结论不要求证明）。","（1）$\boxed{0.8}$  
（2）恰有1人做对的概率为$\boxed{0.35}$，$X$的数学期望为$\boxed{1.55}$；  
（3）$\boxed{p_1 < p_2}$","（1）$\frac{4}{5}$
（2） $0.35, E(X)=1.55$
（3）$p_{1}<p_{2}$",一致
71,"已知椭圆 $E: \frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0)$ ，离心率为 $\frac{\sqrt{2}}{2}$ ．椭圆 $E$ 上的点到两个焦点的距离之和为 4 ．
（1）求椭圆 $E$ 的方程；
（2）已知椭圆 $E$ 上一点 $M\left(x_{0}, y_{0}\right)\left(x_{0} \neq 0\right)$ ，直线 $x_{0} x+2 y_{0} y-4=0$ 与 $y=2, y=-2$ 的交点为 $A, B$ ． $\triangle A O M$ 与 $\triangle B O M$ 的面积分别为 $S_{1}, S_{2}$ ．猜想 $\frac{S_{1}}{S_{2}}$ 与 $\frac{|O A|}{|O B|}$ 的数量关系并求证．","（1）椭圆 $ E $ 的方程为 $ \frac{x^2}{4} + \frac{y^2}{2} = 1 $；  
（2）$ \frac{S_1}{S_2} = \frac{|OA|}{|OB|} $。","（1）$\frac{x^{2}}{4}+\frac{y^{2}}{2}=1$
（2）$\frac{S_{1}}{S_{2}}=\frac{|O A|}{|O B|}$",一致
72,"已知全集 $U=\{x \mid 2 \leqslant x \leqslant 5, x \in \mathbf{R}\}$ ，集合 $A=\{x \mid 2 \leqslant x<4, x \in \mathbf{R}\}$ ，则 $\bar{A}=$ $\qquad$","$\bar{A} = \{x \mid 4 \leqslant x \leqslant 5, x \in \mathbf{R}\}$","[4,5]",一致
73,不等式 $\frac{x-1}{x-3}<0$ 的解集为 $\qquad$,"(1, 3)","(1,3)",一致
74,已知等差数列 $\left\{a_{n}\right\}$ 的首项 $a_{1}=-3$ ，公差 $d=2$ ，则该数列的前 6 项和为 $\qquad$,$\\boxed{12}$,12,一致
75,在二项式 $(2 x-1)^{5}$ 的展开式中，$x^{3}$ 的系数为 $\qquad$,\boxed{80},80,一致
76,"函数 $y=\cos x$ 在 $\left[-\frac{\pi}{2}, \frac{\pi}{4}\right]$ 到的值域为 $\qquad$","$\boxed{[0, 1]}$",[0.1],不一致
77,已知随机变量 $X$ 的分布为 $\left(\begin{array}{lll}5 & 6 & 7 \\ 0.2 & 0.3 & 0.5\end{array}\right)$ ，则期望 $E[X]=$ $\qquad$,6.3,6.3,一致
78,"如图，在正四棱柱 $A B C D-A_{1} B_{1} C_{1} D_{1}$ 中，$B D=4 \sqrt{2}, D B_{1}=9$ ，则该正四棱柱的体积为 $\qquad$ ．",112,112,一致
79,"设 $a, b>0, a+\frac{1}{b}=1$ ，则 $b+\frac{1}{a}$ 的最小值为 $\qquad$",\boxed{4},4,一致
80,4 个家长和 2 个儿童去爬山． 6 个人需要排成一条队列，要求队列的头和尾均是家长，则不同的排列个数有 $\qquad$种,288,288,一致
81,"已知复数 $z$ 满足 $z^{2}=(\bar{z})^{2},|z| \leqslant 1$ ，则 $|z-2-3 i|$ 的最小值是 $\qquad$ ",\boxed{2\sqrt{2}},2\sqrt{2},一致
82,"小申同学观察发现，生活中有些时候影子可以完全投射在斜面上。某斜面上有两根长为 1 米的垂直于水平面放置的杆子，与斜面的接触点分别为 $A, B$ ，它们在阳光的照射下呈现出影子，阳光可视为平行光：其中一根杆子的影子在水平面上，长度为 0.4 米；另一根杆子的影子完全在斜面上，长度为 0.45 米．则斜面的底角 $\theta=$ $\qquad$ （结果用角度制表示，精确到 $0.01^{\circ}$ ）",ERROR,12.58,处理失败: The read operation timed out
83,"已知函数 $f(x)=\left\{\begin{array}{ll}1 & x>0 \\ 0 & x=0 \\ -1 & x<0\end{array}, \vec{a} 、 \vec{b} 、 \vec{c}\right.$ 是平面内三个不同的单位向量．若 $f(\vec{a} \cdot \vec{b})+f(\vec{b} \cdot \vec{c})+f(\vec{c} \cdot \vec{a})=0$ ，则 $|\vec{a}+\vec{b}+\vec{c}|$ 的取值范围是 $\qquad$。","\boxed{(1, \sqrt{5})}","(1,\sqrt{5})",一致
84,已知事件 $A 、 B$ 相互独立，事件 $A$ 发生的概率为 $P(A)=\frac{1}{2}$ ，事件 $B$ 发生的概率为 $P(B)=\frac{1}{2}$ ，则事件 $A$ $\cap B$ 发生的概率 $P(A \cap B)$ 为 A．$\frac{1}{8}$ ．B．$\frac{1}{4}$ ．C．$\frac{1}{2}$ ．D． 0,B．$\frac{1}{4}$,B,一致
85,"设 $a>0, s \in \mathrm{R}$ ．下列各项中，能推出 $a^{s}>a$ 的一项是 A．$a>1$ ，且 $s>0$ ．B．$a>1$ ，且 $s<0$ ．C． $0<a<1$ ，且 $s>0$ ．D． $0<a<1$ ，且 $s<0$",D．$0 < a < 1$，且 $s < 0$。,D,一致
86,"已知 $A(0,1), B(1,2), C$ 在 $\Gamma: x^{2}-y^{2}=1(x \geqslant 1, y \geqslant 0)$ 上，则 $\triangle A B C$ 的面积 A．有最大值，但没有最小值．B．没有最大值，但有最小值．C．既有最大值，也有最小值．D．既没有最大值，也没有最小值",A,A,一致
87,"设 $\lambda=[0,1]$ ，数列 $a_{n}=10 n-9$ ，数列 $b_{n}=2^{n}$ 。设 $c_{n}=\lambda a_{n}+(1-\lambda) b_{n}$ 。若对任意 $\lambda \in[0,1]$ ，长为 $a_{n} 、 b_{n} 、 c_{n}$的线段均能构成三角形，则满足条件的 $n$ 有 A． 1 个．B． 3 个．C． 4 个．D．无穷",B,B,一致
88,2024 年东京奥运会，中国获得了男子 $4 \times 100$ 米混合泳接力金牌。以下是历届奥运会男子 $4 \times 100$ 米混合泳接力项目冠军成绩记录（单位：秒），数据按照升序排列：206．78、207．46、207．95、209．34、209．35、 $210.68 、 213.73 、 214.84 、 216.93 、 216.93$（1）求这组数据的极差与中位（2）从这 10 个数据中任选 3 个，求恰有 2 个数据在 211 以上的概率；（3）若比赛成绩 $y$ 关于年份 $x$ 的回归方程为 $y=-0.311 x+\hat{b}$ ，年份 $x$ 的平均数为 2006 ，预测 2028 年冠军队的成绩（精确到 0.01 秒）。,10.15秒，210.02秒，30%，204.56秒,"(1) 10.15, 210.015 (2) 0.3 (3) y=-0.311x+835.265, x=2028时，y=204.557",一致
89,"如图，$P$ 是圆锥的顶点，$O$ 是底面圆心，$A B$ 是底面直径，且 $A B=2$ ．（1）若直线 $P A$ 与圆雉底面的所成角为 $\frac{\pi}{3}$ ，求圆雉的侧面积；（2）已知 $Q$ 是母线 $P A$ 的中点，点 $C 、 D$ 在底面圆周上，且弧的长为 $\frac{\pi}{3}, C D / / A B$ ．设点 $M$ 在线段 $O C$ 上，证明：直线 $Q M / /$ 平面 $P B D$ ．![](https://cdn.mathpix.com/cropped/2025_06_09_8dd5cad670dc0d4c1d26g-3.jpg?height=466&width=418&top_left_y=641&top_left_x=1450)",\boxed{2\pi},"(1) 2\pi (2) 因为OQ//BP, OC//BD, 所以平面OQC//平面PBD,直线QM//平面PBD",一致
90,"已知 $f(x)=x^{2}-(m+2) x+m \ln x, m \in \mathbf{R}$ 。（1）若 $f(1)=0$ ，求不等式 $f(x) \leqslant x^{2}-1$ 的解集；（2）若函数 $y=f(x)$ 满足在 $(0,+\infty)$ 上存在极大值，求 $m$ 的取值范围；","（1）$\boxed{[1, +\infty)}$  
（2）$\boxed{(0, 2) \cup (2, +\infty)}$","(1) [1,+\infinity) (2) (0,2) U (2,+\infinity)",一致
91,"已知椭圆 $\Gamma: \frac{x^{2}}{a^{2}}+\frac{y^{2}}{5}=1(a>\sqrt{5}), M(0, m)(m>0), A$ 是 $\Gamma$ 的右顶点。（1）若 $\Gamma$ 的焦点是 $(2,0)$ ，求离心率 $e$ ；（2）若 $a=4$ ，且 $\Gamma$ 上存在一点 $P$ ，满足 $\overrightarrow{P A}=2 \overrightarrow{M P}$ ，求 $m$ ；（3）若 $A M$ 中垂线 $l$ 的斜率为 $2, l$ 与 $\Gamma$ 交于 $C 、 D$ 两点，$\angle C M D$ 为针角，求 $a$ 的取值范围．","（1）$\boxed{\dfrac{2}{3}}$；（2）$\boxed{\sqrt{10}}$；（3）$\boxed{(\sqrt{5}, \sqrt{11})}$","(1) \frac{2}{3} (2) \sqrt{10} (3) (\sqrt{5}, \sqrt{11})",一致
